"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 0.5 1 61 96 0.457983331529276 0.0420166684707239 0.172596114026754 FALSE ""
100 0 0.5 1 97 0.132922176683662 0.132922176683662 0.0174094229267647 FALSE ""
100 0.5 0.5 16 98 0.425154209536975 0.0748457904630245 0.161749335868492 FALSE ""
250 0.5 0.5 32 99 0.533730636456323 0.0337306364563231 0.219859164472872 FALSE ""
50 0 0.5 90 100 -0.0224146189670688 0.0224146189670688 0.000439561844761789 FALSE ""
250 0 0.5 51 101 -0.128260448317442 0.128260448317442 0.0143931178556536 FALSE ""
250 0.5 1 27 102 0.528830392497272 0.0288303924972723 0.23528725089654 FALSE ""
250 0.5 0.5 90 103 0.64610748287728 0.14610748287728 0.302812305239397 FALSE ""
250 0 0.5 6 104 -0.0036184866807521 0.0036184866807521 1.48599533148122e-05 FALSE ""
250 1 0.5 20 105 1.00595524370894 0.0059552437089363 0.533078441944876 FALSE ""
50 0 0.25 43 106 -0.022139456638984 0.022139456638984 0.00055593359813324 FALSE ""
250 0 1 27 107 -0.143040472729737 0.143040472729737 0.0194926406616201 FALSE ""
50 0 0.25 63 108 0.131899287718543 0.131899287718543 0.0250657695640151 FALSE ""
250 0 0.5 12 109 0.00793405260582677 0.00793405260582677 8.07449878744508e-05 FALSE ""
50 0.5 0.5 49 110 0.620834994144431 0.120834994144431 0.189282201638546 FALSE ""
250 0 0.5 66 111 -0.0924598041286745 0.0924598041286745 0.00658933553907269 FALSE ""
100 1 0.5 58 112 0.790196834470087 0.209803165529913 0.312317936993618 FALSE ""
100 0.5 0.5 53 113 0.45992533763862 0.0400746623613796 0.198898656919155 FALSE ""
100 0 1 46 114 -0.0569081990202546 0.0569081990202546 0.00265695477370053 FALSE ""
250 0 0.25 56 115 -0.138152706671183 0.138152706671183 0.0183788659481125 FALSE ""
250 1 1 3 116 1.03715687717148 0.0371568771714812 0.527757896046628 FALSE ""
100 0.5 0.25 84 117 0.65843143121397 0.15843143121397 0.315268420923647 FALSE ""
50 1 0.25 90 118 0.932368390257756 0.0676316097422438 0.530421734134722 FALSE ""
250 1 0.5 34 119 0.976750175574802 0.0232498244251983 0.463799710631325 FALSE ""
100 1 1 52 120 0.950435214512067 0.0495647854879331 0.455477847124873 FALSE ""
50 0 1 9 121 0.0359911005640601 0.0359911005640601 0.000898826027377902 FALSE ""
250 1 0.25 73 122 0.865683390865626 0.134316609134374 0.42414248694168 FALSE ""
50 0.5 0.25 14 123 0.269268866012931 0.230731133987069 0.0794883360025108 FALSE ""
100 0 0.25 89 124 0.0391220228101677 0.0391220228101677 0.00148474799002669 FALSE ""
250 1 1 56 125 0.945579392903821 0.0544206070961787 0.49535660858502 FALSE ""
100 0.5 0.25 44 126 0.579435674227207 0.0794356742272069 0.279642230822398 FALSE ""
250 0.5 0.25 2 127 0.440046823468485 0.0599531765315146 0.193758761484351 FALSE ""
50 0.5 0.25 29 128 0.461197615302477 0.0388023846975225 0.232593150030268 FALSE ""
100 1 1 34 129 0.907047328665574 0.092952671334426 0.509238084398213 FALSE ""
250 0.5 0.5 74 130 0.557688360194774 0.0576883601947737 0.26639757285901 FALSE ""
250 1 0.5 76 131 0.901685211085435 0.098314788914565 0.366720897522264 FALSE ""
50 0 0.5 75 132 0.160704971144825 0.160704971144825 0.0212567796144812 FALSE ""
100 1 0.25 31 133 1.03104042195175 0.0310404219517455 0.524549367562532 FALSE ""
250 1 1 43 134 1.05009494591962 0.0500949459196238 0.545126910949346 FALSE ""
50 0.5 1 93 135 0.410090266219492 0.0899097337805075 0.130500653854447 FALSE ""
100 1 0.5 37 136 0.778644249680659 0.221355750319341 0.330762941566328 FALSE ""
50 0.5 0.5 73 137 0.322230143283602 0.177769856716398 0.134055334449681 FALSE ""
50 0.5 0.5 37 138 0.740274806324176 0.240274806324176 0.366639160094737 FALSE ""
250 1 0.25 32 139 0.956566140478552 0.0434338595214477 0.46977230071264 FALSE ""
100 0.5 0.25 24 140 0.497245384450048 0.00275461554995199 0.202521644814965 FALSE ""
100 0 0.25 55 141 0.0608293866676477 0.0608293866676477 0.00362560047293624 FALSE ""
50 0.5 0.25 7 142 0.398768417463832 0.101231582536168 0.161239222648174 FALSE ""
250 0 1 92 143 0.00432150424182241 0.00432150424182241 1.8293103116035e-05 FALSE ""
100 1 1 64 144 1.10500919011284 0.105009190112839 0.488975537586579 FALSE ""
50 1 1 1 145 0.806510977927839 0.193489022072161 0.403250971160879 FALSE ""
250 1 1 35 146 0.996471858113081 0.00352814188691852 0.512377877400315 FALSE ""
100 1 1 35 147 1.10882675626098 0.108826756260979 0.543768158053001 FALSE ""
250 0.5 0.25 89 148 0.520965120526317 0.0209651205263168 0.210426985033325 FALSE ""
50 0 1 83 149 0.173858079025639 0.173858079025639 0.0436309332821272 FALSE ""
100 0 1 27 150 0.178248045997191 0.178248045997191 0.0263967795147527 FALSE ""
50 1 0.5 51 151 0.98196669393985 0.0180333060601502 0.525567330276188 FALSE ""
100 1 1 39 152 1.10393281385221 0.10393281385221 0.560329281041224 FALSE ""
100 1 0.25 40 153 1.02046020267144 0.0204602026714422 0.650436478813965 FALSE ""
100 0 0.5 52 154 -0.117641602231774 0.117641602231774 0.0128853447065577 FALSE ""
100 0.5 0.5 69 155 0.302265093046994 0.197734906953006 0.10023548507288 FALSE ""
50 1 0.5 9 156 0.947202005881895 0.0527979941181048 0.437963431348334 FALSE ""
100 0.5 1 6 157 0.366491962291231 0.133508037708769 0.098598996995944 FALSE ""
50 1 0.5 42 158 0.936804155297127 0.0631958447028732 0.454640118827385 FALSE ""
50 0.5 0.5 55 159 0.62958779448154 0.12958779448154 0.300398195297404 FALSE ""
50 0.5 0.25 17 160 0.644719786523022 0.144719786523022 0.298600447794271 FALSE ""
50 0 1 16 161 0.0273343538285579 0.0273343538285579 0.000805917308633805 FALSE ""
50 0.5 0.25 99 162 0.366575465198985 0.133424534801015 0.0844883528478489 FALSE ""
50 0 0.25 30 163 -0.398859676517979 0.398859676517979 0.149029326250919 FALSE ""
100 0.5 1 83 164 0.356744337974028 0.143255662025972 0.111420073546006 FALSE ""
50 1 0.25 49 165 1.06397397543146 0.0639739754314617 0.625770564984572 FALSE ""
250 0.5 1 84 166 0.454390462531869 0.0456095374681312 0.197660954669276 FALSE ""
250 1 0.5 44 167 0.920996568219939 0.0790034317800608 0.44939126597169 FALSE ""
100 1 1 73 168 0.902242473108893 0.0977575268911073 0.504582984924368 FALSE ""
250 0.5 0.25 62 169 0.529891806217946 0.0298918062179463 0.219352409351194 FALSE ""
250 1 1 45 170 1.07179778091084 0.0717977809108439 0.50689175540143 FALSE ""
100 0.5 1 70 171 0.356984753212558 0.143015246787442 0.158272090430005 FALSE ""
50 0.5 1 15 172 0.522797970444534 0.0227979704445336 0.239071884764789 FALSE ""
50 0 1 88 173 -0.0468965228422266 0.0468965228422266 0.00192390800652802 FALSE ""
50 0.5 1 25 174 0.564798331067995 0.0647983310679947 0.246527049213009 FALSE ""
100 0 0.5 82 175 0.0191834832820158 0.0191834832820158 0.000438791050646288 FALSE ""
250 0.5 0.5 87 176 0.558726574071143 0.0587265740711427 0.263067170108335 FALSE ""
50 0.5 0.25 100 177 0.486202872038744 0.0137971279612563 0.204603399557303 FALSE ""
250 1 1 16 178 1.00771721503061 0.00771721503060729 0.516870609669635 FALSE ""
