"sampleSize" "rep" "id" "interceptBias" "slopeBias" "error" "errorMessage"
100 36 177 0.0118469600869686 0.127510514275001 FALSE ""
50 92 178 0.238808406790391 0.208554804863795 FALSE ""
100 52 179 0.0570939016441055 0.0855146527958953 FALSE ""
100 66 180 0.0351217835880838 0.167730621771117 FALSE ""
1000 58 181 0.0215886538925957 0.00324203217003238 FALSE ""
100 46 182 0.0977186165989057 0.0021403711976869 FALSE ""
500 56 183 0.0482619457640048 0.0563364048813826 FALSE ""
500 8 184 0.000478029058534047 0.0258705728287312 FALSE ""
250 73 185 0.0213094426738043 0.0157169408484834 FALSE ""
500 3 186 0.0473826074923964 0.0464190692250465 FALSE ""
250 72 187 0.0603234311279601 0.0626180175194961 FALSE ""
1000 24 188 0.00579592094435444 0.0212296316736512 FALSE ""
100 60 189 0.00635462973702652 0.0765136752805939 FALSE ""
250 87 190 0.00816357590094613 0.0420469887401924 FALSE ""
500 59 191 0.00292726509139347 0.0364978939404392 FALSE ""
50 78 192 0.0597358772395472 0.0457678848880561 FALSE ""
500 23 193 0.0195634258648203 0.00500240155062903 FALSE ""
1000 2 194 0.0223974951325898 0.00867232130988527 FALSE ""
100 82 195 0.00950847609025763 0.133618765125504 FALSE ""
50 5 196 0.0933229725264082 0.0256455159965068 FALSE ""
250 95 197 0.060555139954856 0.0136923947759207 FALSE ""
250 47 198 0.0756184649404186 0.0281629963254212 FALSE ""
100 85 199 0.0958736782079234 0.0413817392705136 FALSE ""
250 38 200 0.0306685086297996 0.041787109360063 FALSE ""
50 74 201 0.091966407308449 0.00355748677604417 FALSE ""
100 88 202 0.038020950665559 0.0229919560733648 FALSE ""
500 46 203 0.0123690578134539 0.0542182892979109 FALSE ""
100 25 204 0.0677561808020044 0.0744131889019397 FALSE ""
250 70 205 0.0298655356117985 0.0451694632858825 FALSE ""
50 98 206 0.140721697277825 0.12699661928817 FALSE ""
100 22 207 0.0095257342294526 0.136763672272933 FALSE ""
250 64 208 0.0382238941882335 0.0139821650511782 FALSE ""
250 56 209 0.0560821980560493 0.0736714275852376 FALSE ""
500 4 210 0.00561256328932649 0.0297106143980133 FALSE ""
250 93 211 0.16064731403753 0.0615734357278891 FALSE ""
100 65 212 0.0711438404045511 0.117503745203775 FALSE ""
250 33 213 0.0154038321955747 0.0256427226998844 FALSE ""
1000 15 214 0.0219029894458579 0.019928892305806 FALSE ""
250 45 215 0.00516733066211441 0.0371257183048865 FALSE ""
500 43 216 0.0176073625692264 0.0476031866373841 FALSE ""
1000 98 217 0.0387880377774461 0.00138314642607984 FALSE ""
500 28 218 0.000946439870762382 0.0286346176520568 FALSE ""
100 70 219 0.209861244562699 0.153637149161541 FALSE ""
100 6 220 0.0208591785797049 0.214173467210656 FALSE ""
1000 21 221 0.0329588901726646 0.0130035039142308 FALSE ""
100 40 222 0.211185176654341 0.0851477656663058 FALSE ""
1000 35 223 0.0571331957812471 0.0133957922608412 FALSE ""
1000 48 224 0.0258417540099607 0.0397590166462359 FALSE ""
50 3 225 0.0693350683385865 0.0638813372546405 FALSE ""
100 32 226 0.153506748178874 0.249281910357957 FALSE ""
100 58 227 0.0263973615151202 0.0986164255663634 FALSE ""
250 99 228 0.00158026092702519 0.0631319222059559 FALSE ""
1000 72 229 0.0746343516714307 0.0161016284531108 FALSE ""
100 19 230 0.056004966371188 0.153021473913384 FALSE ""
50 59 231 0.213374566687066 0.0561749221409943 FALSE ""
50 56 232 0.12194229852092 0.171163167543137 FALSE ""
250 69 233 0.00943085596303361 0.0148126259124667 FALSE ""
100 16 234 0.107495159914434 0.270164171385412 FALSE ""
50 68 235 0.155054378897302 0.0939512710326799 FALSE ""
1000 79 236 0.0324749818535264 0.00521201423740603 FALSE ""
100 80 237 0.0234255968716249 0.127555152889447 FALSE ""
100 13 238 0.0227870999412477 0.199450924647513 FALSE ""
250 11 239 0.0488973595879103 0.0412105375274833 FALSE ""
50 7 240 0.0735357266527581 0.126217558777285 FALSE ""
250 44 241 0.0552907319869729 0.0223570499824683 FALSE ""
1000 6 242 0.0305414137927552 0.000605551611459587 FALSE ""
50 35 243 0.129295749169686 0.094118729361192 FALSE ""
500 7 244 0.0608345932078784 0.0824460957411401 FALSE ""
100 62 245 0.0931116652530259 0.0902305080400665 FALSE ""
100 1 246 0.0596826648683064 0.128708311509367 FALSE ""
250 75 247 0.0587306625728527 0.148838291568228 FALSE ""
250 53 248 0.0293590575691107 0.00934251286063459 FALSE ""
500 26 249 0.0434540694258395 0.0181447006631124 FALSE ""
500 34 250 0.0175088600069929 0.0383831704104995 FALSE ""
1000 85 251 0.0239679468624377 0.0219350055924857 FALSE ""
100 77 252 0.0398384395983888 0.0340664471016918 FALSE ""
1000 16 253 0.0341349550014102 0.0469686008477566 FALSE ""
1000 76 254 0.0285165693739545 0.0490061946121806 FALSE ""
50 93 255 0.00670253129631312 0.0667415682346628 FALSE ""
100 76 256 0.035011493305046 0.0605632204505004 FALSE ""
500 24 257 0.0194058972958996 0.103102230604003 FALSE ""
500 63 258 0.0700104918150035 0.0723930060975003 FALSE ""
1000 70 259 0.0709433516495961 0.0114904934173019 FALSE ""
250 52 260 0.0195781089595577 0.049828864421255 FALSE ""
500 85 261 0.0173332509626615 0.103145276907575 FALSE ""
50 53 262 0.0306498600990056 0.109790473305842 FALSE ""
500 69 263 0.0298579701113422 0.0535766009745511 FALSE ""
100 99 264 0.0601781224860607 0.022996982129377 FALSE ""
250 25 265 0.0305480059355637 0.038408629069506 FALSE ""
50 22 266 0.0286711308160955 0.244846022636502 FALSE ""
1000 64 267 0.0114275496146034 0.0397007945463462 FALSE ""
50 27 268 0.191008151533887 0.101130443731126 FALSE ""
1000 62 269 0.00800153122397775 0.0146281391431057 FALSE ""
250 42 270 0.0187720025526425 0.00718486068178026 FALSE ""
1000 71 271 0.077880019536692 0.0187962454338813 FALSE ""
1000 59 272 0.01656439176433 0.0309428244293963 FALSE ""
500 93 273 0.0153326651387455 0.00333012629892449 FALSE ""
50 94 274 0.206041846667896 0.135914312743816 FALSE ""
250 3 275 0.0194349507723797 0.0540960538349377 FALSE ""
500 54 276 0.082610209486408 0.0114474118147342 FALSE ""
100 17 277 0.130239526081876 0.0756807989000472 FALSE ""
100 73 278 0.094146236352283 0.0755887285901974 FALSE ""
1000 93 279 0.0235151772523544 0.00863717903561978 FALSE ""
500 39 280 0.0633411947206483 0.0117147411985834 FALSE ""
100 4 281 0.0589389827283252 0.0498061200180668 FALSE ""
100 56 282 0.138640626528877 0.0780475127649536 FALSE ""
1000 29 283 0.000452401971353994 0.0308212565686353 FALSE ""
1000 90 284 0.0187702853994503 0.0402545479627554 FALSE ""
50 100 285 0.162517513716075 0.174212251205592 FALSE ""
500 29 286 0.0313255724714818 0.0614120225531833 FALSE ""
250 5 287 0.023653932193477 0.0728647026331684 FALSE ""
50 87 288 0.131883300164082 0.0180866192087945 FALSE ""
1000 44 289 0.0246206589598855 0.0614302268263779 FALSE ""
50 36 290 0.23663343896308 0.339561626035216 FALSE ""
250 78 291 0.0383703641195037 0.0154245131282258 FALSE ""
1000 27 292 0.0104033855517241 0.0527081527516926 FALSE ""
50 77 293 0.0440681681216974 0.0344072566201343 FALSE ""
250 10 294 0.1829628514987 0.113278948545271 FALSE ""
250 91 295 0.0264369774010314 0.0477752496774846 FALSE ""
500 89 296 0.0852804454393256 0.00753044416120391 FALSE ""
50 38 297 0.132725766104345 0.0642718302232965 FALSE ""
250 77 298 0.0192459443038639 0.0750200848728853 FALSE ""
1000 22 299 0.0430536404743003 0.0115093841273368 FALSE ""
500 65 300 0.0281123564530497 0.0810469414114772 FALSE ""
1000 11 301 0.00986821016970262 0.037359764614907 FALSE ""
500 14 302 0.025290123506636 0.0433696987827524 FALSE ""
500 95 303 0.059291652951174 0.00664256618412251 FALSE ""
500 47 304 0.0348555646047765 0.0200084112296285 FALSE ""
50 82 305 0.267839042007193 0.0107160263379469 FALSE ""
1000 66 306 0.0426568682650296 0.0453581305279748 FALSE ""
50 66 307 0.078759487148269 0.0243073201022876 FALSE ""
500 62 308 0.00202498037375084 0.0846653730784652 FALSE ""
100 2 309 0.00423641865222362 0.00382229703975484 FALSE ""
1000 69 310 0.0519351185537107 0.00178775873479387 FALSE ""
100 68 311 0.0989621549723373 0.0672809074435833 FALSE ""
100 51 312 0.0674877304082736 0.0706783011332436 FALSE ""
1000 56 313 0.0110136721687569 0.0232048278791117 FALSE ""
250 84 314 0.00799334988072816 0.0334034250425119 FALSE ""
1000 5 315 0.0340166272302249 0.0223842358403905 FALSE ""
500 68 316 0.00273862767392642 0.0274350124683733 FALSE ""
250 34 317 0.0127411657062496 0.00949605645917595 FALSE ""
500 17 318 0.00386332045062118 0.0768442871359106 FALSE ""
50 99 319 0.0259745772372796 0.0460242978173171 FALSE ""
250 43 320 0.141957944693908 0.1061444634563 FALSE ""
250 36 321 0.0766152710943966 0.0561743226878019 FALSE ""
50 43 322 0.0931814586730826 0.0615419332193615 FALSE ""
100 24 323 0.0992502239044805 0.0879083562476254 FALSE ""
50 51 324 0.0764574525964117 0.0544638481549451 FALSE ""
1000 77 325 0.0097848028186763 0.0246251524197294 FALSE ""
50 9 326 0.0531905869800705 0.0443343686214508 FALSE ""
1000 87 327 0.0075894289799355 0.0253283653686904 FALSE ""
250 41 328 0.029946867360652 0.0694893362612005 FALSE ""
500 11 329 0.0374868185604532 0.0411869054445281 FALSE ""
50 1 330 0.276939958637485 0.0895597359204995 FALSE ""
500 45 331 0.0109610410742763 0.0169199088964063 FALSE ""
50 50 332 0.176373705408975 0.153080629329481 FALSE ""
1000 91 333 0.0128270202853871 0.0107314050884866 FALSE ""
50 55 334 0.180379259255569 0.00407109316095478 FALSE ""
250 94 335 0.035622648029812 0.0122894101530086 FALSE ""
