"sampleSize" "rep" "id" "interceptBias" "slopeBias" "error" "errorMessage"
50 52 35 0.0718363960424618 0.18115297997392 FALSE ""
50 10 36 0.0696047516139663 0.0602436981643401 FALSE ""
100 90 37 0.0829184067168139 0.145638109357803 FALSE ""
100 78 38 0.0711552411630903 0.156314971928944 FALSE ""
50 14 39 0.247839806085964 0.161293014068114 FALSE ""
50 45 40 0.0168576567051371 0.138765259222783 FALSE ""
100 6 41 0.0307404197813055 0.0689526953975012 FALSE ""
500 1 42 0.0386633846127202 0.105258645110257 FALSE ""
100 16 43 0.0524555352720525 0.210539060286181 FALSE ""
1000 5 44 0.0199894424420459 0.01522816085141 FALSE ""
250 46 45 0.123236644503048 0.105691121973229 FALSE ""
100 8 46 0.187912096721174 0.0453189555873823 FALSE ""
100 15 47 0.0637804810051793 0.00392714998140731 FALSE ""
50 94 48 0.108897559900089 0.102037077413828 FALSE ""
250 79 49 0.00905449570338364 0.0368951947242761 FALSE ""
100 67 50 0.00474109099679811 0.129019689958971 FALSE ""
50 29 51 0.268863942651595 0.0848131151369823 FALSE ""
250 70 52 0.0511958633074051 0.00136181597253199 FALSE ""
50 35 53 0.153476635732053 0.0160395084142679 FALSE ""
500 6 54 0.0816576217791468 0.0607027703688552 FALSE ""
250 86 55 0.0129793060734222 0.180872198910907 FALSE ""
250 72 56 0.0782447030782682 0.0951007066263063 FALSE ""
100 47 57 0.00607791941705817 0.150352369347261 FALSE ""
1000 65 58 0.0089878818516474 0.0186007440243168 FALSE ""
250 45 59 0.00893566381387232 0.0919222258265127 FALSE ""
250 74 60 0.0317605113568608 0.10479027670502 FALSE ""
100 54 61 0.0238613612106763 0.104651517217968 FALSE ""
50 32 62 0.174253585223724 0.112953218588336 FALSE ""
500 14 63 0.0339999277065294 0.00277426420533544 FALSE ""
500 48 64 0.0807484510686844 0.0714288820998261 FALSE ""
500 82 65 0.0164425206863543 0.00157831458507354 FALSE ""
500 30 66 0.0111512190605964 0.0727138937537577 FALSE ""
1000 21 67 0.0527295196818907 0.0415171231176685 FALSE ""
100 3 68 0.00389234060735172 0.0900699801744374 FALSE ""
50 66 69 0.00118245648566968 0.344674007632785 FALSE ""
500 74 70 0.0433998875706952 0.0788847091631228 FALSE ""
250 18 71 0.026821025881466 0.000975629654511423 FALSE ""
250 16 72 0.00965128250176053 0.0278021173771466 FALSE ""
250 3 73 0.0302427392165328 0.012316559159232 FALSE ""
50 34 74 0.175175660566446 0.092235705273235 FALSE ""
50 7 75 0.0454317453486357 0.0648906897472273 FALSE ""
100 1 76 0.0186925245274912 0.02572185835549 FALSE ""
50 6 77 0.288510178246899 0.0572140349470255 FALSE ""
100 19 78 0.124736247145961 0.0190096960120267 FALSE ""
100 44 79 0.0144164387685612 0.021167285191303 FALSE ""
1000 100 80 0.0227540365688701 0.0329226825606904 FALSE ""
500 44 81 0.0446926419326438 0.0221644612976751 FALSE ""
50 18 82 0.0460369661992217 0.0748878525349772 FALSE ""
250 21 83 0.116293197010634 0.0787185723709123 FALSE ""
250 20 84 0.0735652018671091 0.0175534438581639 FALSE ""
50 8 85 0.328220806069286 0.0202241649308037 FALSE ""
500 91 86 0.0220092291063622 0.00782729951831407 FALSE ""
50 62 87 0.222934430842458 0.0076669345169802 FALSE ""
50 39 88 0.0507955363652124 0.226758510601449 FALSE ""
250 41 89 0.10400337604516 0.0959839921422266 FALSE ""
100 95 90 0.046264368797492 0.132809474653234 FALSE ""
500 43 91 0.0164782235263174 0.0293767760685935 FALSE ""
100 93 92 0.0291290309722374 0.0956595736332542 FALSE ""
250 61 93 0.00990067490825574 0.00119599800631454 FALSE ""
50 55 94 0.00140363215524209 0.224384273696872 FALSE ""
250 96 95 0.0130137257462909 0.0129258766389417 FALSE ""
250 39 96 0.0932790586989752 0.124532641932019 FALSE ""
250 100 97 0.0174404430060658 0.00874016930533794 FALSE ""
250 65 98 0.0731386627039503 0.00943946059099354 FALSE ""
100 10 99 0.160365771393437 0.0263110568679988 FALSE ""
100 26 100 0.0795481781769923 0.0739485411613672 FALSE ""
250 88 101 0.074064290490184 0.0570447532054191 FALSE ""
1000 25 102 0.00573782404840761 0.0382106328440227 FALSE ""
250 64 103 0.0270446970019332 0.135153790237094 FALSE ""
50 53 104 0.155349007618712 0.0796025981642297 FALSE ""
500 42 105 0.0218828258513838 0.0110579927815683 FALSE ""
1000 66 106 0.0100988197014156 0.0377442214673929 FALSE ""
250 48 107 0.0948619924020117 0.0463717223828407 FALSE ""
1000 23 108 0.00594112602036019 0.0158070564149462 FALSE ""
1000 8 109 0.0202407815898324 0.0166852054664584 FALSE ""
500 79 110 0.013362783649741 0.0483709485375744 FALSE ""
50 12 111 0.02527423164667 0.164642042023354 FALSE ""
500 39 112 0.0608418741191205 0.0865675803095552 FALSE ""
50 57 113 0.0425983975443577 0.188334254079999 FALSE ""
1000 9 114 0.019333966159644 0.0212329817588743 FALSE ""
500 56 115 0.00667853769219875 0.0333852134960069 FALSE ""
250 30 116 0.0169754008025882 0.0256010899747044 FALSE ""
100 23 117 0.0478949360326763 0.0549222835580049 FALSE ""
500 68 118 0.0174325271507907 0.107409481549121 FALSE ""
1000 94 119 0.0296374725872037 0.0398959157734508 FALSE ""
